"0","なし","1","0",,,,,,,,,
"1","パワーN","20","0",,,,,,,,,
"2","パワーR","30","2","1","2",,,,,,,
"3","パワーSR","40","3","3","4","5",,,,,,
"4","パワーSSR","50","4","6","7","8","9",,,,,
"5","テクニックN","20","0",,,,,,,,,
"6","テクニックR","30","2","10","11",,,,,,,
"7","テクニックSR","40","3","12","13","14",,,,,,
"8","テクニックSSR","50","4","15","16","17","18",,,,,
"9","スタミナN","20","0",,,,,,,,,
"10","スタミナR","30","2","19","20",,,,,,,
"11","スタミナSR","40","3","21","22","23",,,,,,
"12","スタミナSSR","50","4","24","25","26","27",,,,,
"13","アピールN","20","0",,,,,,,,,
"14","アピールR","30","2","28","29",,,,,,,
"15","アピールSR","40","3","30","31","32",,,,,,
"16","アピールSSR","50","4","33","34","35","36",,,,,
"17","新パワーSR","40","3","37","38","39",,,,,,
"18","新テクニックSR","40","3","40","41","42",,,,,,
"19","新スタミナSR","40","3","43","44","45",,,,,,
"20","新アピールSR","40","3","46","47","48",,,,,,
"21","アクセ：パワーN","20","0",,,,,,,,,
"22","アクセ：パワーR","30","2","49","50",,,,,,,
"23","アクセ：パワーSR","30","4","51","52","53","54",,,,,
"24","アクセ：パワーSSR","30","6","55","56","57","58","59","60",,,
"25","アクセ：テクニックN","20","0",,,,,,,,,
"26","アクセ：テクニックR","30","2","61","62",,,,,,,
"27","アクセ：テクニックSR","30","4","63","64","65","66",,,,,
"28","アクセ：テクニックSSR","30","6","67","68","69","70","71","72",,,
"29","アクセ：スタミナN","20","0",,,,,,,,,
"30","アクセ：スタミナR","30","2","73","74",,,,,,,
"31","アクセ：スタミナSR","30","4","75","76","77","78",,,,,
"32","アクセ：スタミナSSR","30","6","79","80","81","82","83","84",,,
"33","アクセ：アピールN","20","0",,,,,,,,,
"34","アクセ：アピールR","30","2","85","86",,,,,,,
"35","アクセ：アピールSR","30","4","87","88","89","90",,,,,
"36","アクセ：アピールSSR","30","6","91","92","93","94","95","96",,,
"37","シール：N","1","1","97",,,,,,,,
"38","シール：R","1","1","98",,,,,,,,
"39","シール：SR","1","1","99",,,,,,,,
"40","シール：SSR","1","1","100",,,,,,,,
"41","ブロマイドシール：","1","1","101",,,,,,,,
