"0","0","","","","","","","","","",""
"1","5","35083","1","35083","1","35083","1","35083","1","35083","1"
"2","5","35083","2","35083","2","35083","2","35083","2","35083","2"
"3","5","35083","40","35083","40","35083","40","35083","40","35083","40"
"4","5","35229","10","35229","20","35229","30","35229","40","35229","50"
"5","5","35083","1","35083","1","35083","1","35083","1","35083","1"
"6","5","35083","2","35083","2","35083","2","35083","2","35083","2"
"7","5","35083","10","35083","10","35083","10","35083","10","35083","10"
"8","5","36228","10","36228","20","36228","30","36228","40","36228","50"
"9","1","35083","1","","","","","","","",""
"10","1","35083","1","","","","","","","",""
"11","1","35083","1","","","","","","","",""
"12","1","35083","1","","","","","","","",""
"13","1","35083","1","","","","","","","",""
"14","1","35083","1","","","","","","","",""
"15","1","35083","1","","","","","","","",""
"16","1","35083","1","","","","","","","",""
"17","1","35030","2","","","","","","","",""
"18","5","35103","20","35103","20","35103","20","35103","20","35103","20"
"19","5","35104","20","35104","20","35104","20","35104","20","35104","20"
"20","5","35105","20","35105","20","35105","20","35105","20","35105","20"
"21","5","35106","20","35106","20","35106","20","35106","20","35106","20"
"22","5","35107","20","35107","20","35107","20","35107","20","35107","20"
"23","5","35108","20","35108","20","35108","20","35108","20","35108","20"
"24","5","35109","20","35109","20","35109","20","35109","20","35109","20"
"25","5","35110","20","35110","20","35110","20","35110","20","35110","20"
"26","5","35111","20","35111","20","35111","20","35111","20","35111","20"
"27","5","35112","20","35112","20","35112","20","35112","20","35112","20"
"28","5","35103","5","35103","5","35103","5","35103","5","35103","5"
"29","5","35104","5","35104","5","35104","5","35104","5","35104","5"
"30","5","35105","5","35105","5","35105","5","35105","5","35105","5"
"31","5","35106","5","35106","5","35106","5","35106","5","35106","5"
"32","5","35107","5","35107","5","35107","5","35107","5","35107","5"
"33","5","35108","5","35108","5","35108","5","35108","5","35108","5"
"34","5","35109","5","35109","5","35109","5","35109","5","35109","5"
"35","5","35110","5","35110","5","35110","5","35110","5","35110","5"
"36","5","35111","5","35111","5","35111","5","35111","5","35111","5"
"37","5","35112","5","35112","5","35112","5","35112","5","35112","5"
"38","5","35125","20","35125","20","35125","20","35125","20","35125","20"
"39","5","35125","5","35125","5","35125","5","35125","5","35125","5"
"40","5","35178","20","35178","20","35178","20","35178","20","35178","20"
"41","5","35178","5","35178","5","35178","5","35178","5","35178","5"
"42","5","35246","20","35246","20","35246","20","35246","20","35246","20"
"43","5","35246","5","35246","5","35246","5","35246","5","35246","5"
"44","5","35316","20","35316","20","35316","20","35316","20","35316","20"
"45","5","35316","5","35316","5","35316","5","35316","5","35316","5"
"46","5","35454","20","35454","20","35454","20","35454","20","35454","20"
"47","5","35454","5","35454","5","35454","5","35454","5","35454","5"
"48","5","35685","20","35685","20","35685","20","35685","20","35685","20"
"49","5","35685","5","35685","5","35685","5","35685","5","35685","5"
"50","5","35851","20","35851","20","35851","20","35851","20","35851","20"
"51","5","35851","5","35851","5","35851","5","35851","5","35851","5"
"52","5","35951","20","35951","20","35951","20","35951","20","35951","20"
"53","5","35951","5","35951","5","35951","5","35951","5","35951","5"
"54","5","36149","20","36149","20","36149","20","36149","20","36149","20"
"55","5","36149","5","36149","5","36149","5","36149","5","36149","5"
"56","5","36279","20","36279","20","36279","20","36279","20","36279","20"
"57","5","36279","5","36279","5","36279","5","36279","5","36279","5"
"58","1","35083","1","","","","","","","",""
"59","1","35083","1","","","","","","","",""
"60","1","35229","2","","","","","","","",""
"61","1","35103","2","","","","","","","",""
"62","1","35104","2","","","","","","","",""
"63","1","35105","2","","","","","","","",""
"64","1","35106","2","","","","","","","",""
"65","1","35107","2","","","","","","","",""
"66","1","35108","2","","","","","","","",""
"67","1","35109","2","","","","","","","",""
"68","1","35110","2","","","","","","","",""
"69","1","35111","2","","","","","","","",""
"70","1","35112","2","","","","","","","",""
"71","1","35125","2","","","","","","","",""
"72","1","35178","2","","","","","","","",""
"73","1","35246","2","","","","","","","",""
"74","1","35316","2","","","","","","","",""
"75","1","35454","2","","","","","","","",""
"76","1","35685","2","","","","","","","",""
"77","1","35103","20","","","","","","","",""
"78","1","35104","20","","","","","","","",""
"79","1","35105","20","","","","","","","",""
"80","1","35106","20","","","","","","","",""
"81","1","35107","20","","","","","","","",""
"82","1","35108","20","","","","","","","",""
"83","1","35109","20","","","","","","","",""
"84","1","35110","20","","","","","","","",""
"85","1","35111","20","","","","","","","",""
"86","1","35112","20","","","","","","","",""
"87","1","35125","20","","","","","","","",""
"88","1","35178","20","","","","","","","",""
"89","1","35246","20","","","","","","","",""
"90","1","35316","20","","","","","","","",""
"91","1","35454","20","","","","","","","",""
"92","1","35685","20","","","","","","","",""
"93","1","35083","5","","","","","","","",""
"94","1","35229","50","","","","","","","",""
"95","1","35851","2","","","","","","","",""
"96","1","35851","20","","","","","","","",""
"97","1","35951","2","","","","","","","",""
"98","1","35951","20","","","","","","","",""
"99","1","36149","2","","","","","","","",""
"100","1","36149","20","","","","","","","",""
"101","1","36279","2","","","","","","","",""
"102","1","36279","20","","","","","","","",""
"103","5","36446","25","36446","25","36446","25","36446","25","36446","25"
"104","5","36533","20","36533","20","36533","20","36533","20","36533","20"
"105","5","36533","5","36533","5","36533","5","36533","5","36533","5"
"106","1","36533","2","","","","","","","",""
"107","1","36533","20","","","","","","","",""
"108","5","36556","25","36556","25","36556","25","36556","25","36556","25"
"109","5","36620","25","36620","25","36620","25","36620","25","36620","25"
"110","5","36650","25","36650","25","36650","25","36650","25","36650","25"
"111","5","36696","25","36696","25","36696","25","36696","25","36696","25"
"112","5","36699","20","36699","20","36699","20","36699","20","36699","20"
"113","5","36699","5","36699","5","36699","5","36699","5","36699","5"
"114","1","36699","2","","","","","","","",""
"115","1","36699","20","","","","","","","",""
"116","5","36805","20","36805","20","36805","20","36805","20","36805","20"
"117","5","36805","5","36805","5","36805","5","36805","5","36805","5"
"118","1","36805","2","","","","","","","",""
"119","1","36805","20","","","","","","","",""
"120","5","36934","20","36934","20","36934","20","36934","20","36934","20"
"121","5","36934","5","36934","5","36934","5","36934","5","36934","5"
"122","1","36934","2","","","","","","","",""
"123","1","36934","20","","","","","","","",""
"124","1","35229","10","","","","","","","",""
"125","5","37025","25","37025","25","37025","25","37025","25","37025","25"
"126","5","37216","25","37216","25","37216","25","37216","25","37216","25"
"127","5","37154","20","37154","20","37154","20","37154","20","37154","20"
"128","5","37154","5","37154","5","37154","5","37154","5","37154","5"
"129","1","37154","2","","","","","","","",""
"130","1","37154","20","","","","","","","",""
"131","5","37265","25","37265","25","37265","25","37265","25","37265","25"
"132","5","37293","20","37293","20","37293","20","37293","20","37293","20"
"133","5","37293","5","37293","5","37293","5","37293","5","37293","5"
"134","1","37293","2","","","","","","","",""
"135","1","37293","20","","","","","","","",""
"136","5","37402","25","37402","25","37402","25","37402","25","37402","25"
"137","5","37448","25","37448","25","37448","25","37448","25","37448","25"
"138","5","37535","20","37535","20","37535","20","37535","20","37535","20"
"139","5","37535","5","37535","5","37535","5","37535","5","37535","5"
"140","1","37535","2","","","","","","","",""
"141","1","37535","20","","","","","","","",""
"142","5","37836","25","37836","25","37836","25","37836","25","37836","25"
